,Name,Address,Lattitude,Longitude,Faculty,Type,city,district,,,Ariyalur
29,GOVERNMENT POLYTECHNIC COLLEGE,"Polur-Chengam Rd, Karapattu, Tamil Nadu 606705, India",12.3625349,78.9172304,Polytechnic,Government,,Tiruvanamalai,,,Thoothukkudi
30,GOVERNMENT POLYTECHNIC COLLEGE,"Thirukoilure, Tamil Nadu 605752, India",11.9896258,79.2417669,Polytechnic,Government,,Viluppuram,,,Tiruchirappalli
31,GOVERNMENT POLYTECHNIC COLLEGE,"Thekkampatti, Tamil Nadu 641113, India, Andippatti, Tamil Nadu, India",11.2563078,76.887229,Polytechnic,Government,,Coimbatore,,,Tirunelveli
32,GOVRNMENT POLYTECHNIC COLLEGE,"Bandarapalli, Tamil Nadu 635651, India",12.5563314,78.5080497,Polytechnic,Government,,Tirupattur,,,Tirupattur
33,GOVERNMENT POLYTECHNIC COLLEGE,"Keezhapalur, Tamil Nadu 621707, India",11.0678338,79.0696564,Polytechnic,Government,,Ariyalur,,,Tiruppur
34,GOVERNMENT POLYTECHNIC COLLEGE,"Erode, Tamil Nadu 638053, India",11.291116,77.5700956,Polytechnic,Government,,Erode,,,Tiruvanamalai
35,GOVERNMENT POLYTECHNIC COLLEGE,"NH49, Kokkulam, Tamil Nadu 625514, India",9.9503441,77.9655837,Polytechnic,Government,,Madurai,,,Vellore
36,GOVERNMENT POLYTECHNIC COLLEGE,"Kattuvannanjur Village, Villupuram, Tamil Nadu 606401, India",11.8771336,78.9064517,Polytechnic,Government,,Kallakurichi,,,Viluppuram
37,GOVERNMENT POLYTECHNIC COLLEGE,"Government polytechnic colllege of, SH 5, Cheyyar, Tamil Nadu 604407, India",12.6454119,79.5361437,Polytechnic,Government,,Tiruvanamalai,,,Virudhunagar
38,GOVERNMENT POLYTECHNIC COLLEGE,"Melapachchakudi, Tamil Nadu 620012, India, No:82, Behind Fatima Hospital, Sethurapatti, Fathima Nagar P.O, Tiruchirappalli, Tamil Nadu 620012, India",10.6760363,78.6034492,Polytechnic,Government,,Pudukkottai,,,
39,GOVERNMENT POLYTECHNIC COLLEGE,"Puthupatti, Gandharvakottai, India",10.5633095,79.0579378,Polytechnic,Government,,Pudukkottai,,,
40,GOVERNMENT POLYTECHNIC COLLEGE,"Madurai, Tamil Nadu 625537, India",10.0409647,77.7953552,Polytechnic,Government,,Madurai,,,
41,GOVERNMENT POLYTECHNIC COLLEGE,"State Highway 18, Dist Krishnagiri, Uthangarai, Tamil Nadu 635207, India",12.2858372,78.5401869,Polytechnic,Government,,Krishnagiri,,,
42,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,"Bharathiyar Rd, ATT Colony, New Siddhapudur, Coimbatore, Tamil Nadu 641044, India",11.0162663,76.9766468,Polytechnic,Government,Coimbatore,Coimbatore,,,
43,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,"Tirupparankunram Rd, Jaihindpuram, Madurai, Tamil Nadu 625011, India",9.9088858,78.1082258,Polytechnic,Government,Madurai,Madurai,,,
44,BHARATHIYAR CENTENARY MEMORIAL GOVT WOMEN’S POLY COLL.,"KOVILPATTI ROAD, SH 44, Ettaiyapuram, Tamil Nadu 628902, India",9.1538205,77.977434,Polytechnic,Government,,Thoothukkudi,,,
45,SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE,"Chennai - Nagapattinam Hwy, Puthur, Tamil Nadu 609108, India",11.3030293,79.7149877,Polytechnic,Government,,Mayiladuthurai,,,
46,GOVERNMENT TECHNICAL TRAINING CENTRE,"Ambedkar Nagar, SIDCO Industrial Estate, Gandhi Nagar, Chennai, Tamil Nadu 600032, India",13.0135523,80.2036121,Polytechnic,Government,Chennai,Chennai,,,
47,GOVERNMENT POLYTECHNIC COLLEGE FOR WOMEN,"Airport Road Opp. Navalar School Government Quaters, Lawspet, Puducherry, 605008, India",11.959833,79.810215,Polytechnic,Government,,Puducherry,,,
48,P T Lee CHENGALVARAYA NAICKER POLYTECHNIC COLEGE,"No. 2, 3 E. V. K. Sampath Salai, Vepery, Chennai, Tamil Nadu 600007, India",13.0873607,80.2630412,Polytechnic,Government,Chennai,Chennai,,,
49,RAMAKRISHNA MISSION POLYTECHNIC COLLEGE,"No. 66, P.S. Sivaswamy Salai,Mylapore, Chennai, Tamil Nadu 600004, India",13.0371779,80.2621038,Polytechnic,Government,Chennai,Chennai,,,
50,BHAKTAVATSALAM POLYTECHNIC COLLEGE,"Chennai-Bangalore Highway, Karapettai, Kanchipuram, Tamil Nadu 631552, India",12.8703539,79.7115912,Polytechnic,Government,Kanchipuram,Kanchipuram,,,
51,AMK TECHNOLOGICAL POLYTECHNIC COLLEGE,"Chennai- Bangalore Road, Sembarambakkam, Tamil Nadu 600123, India",13.0366739,80.0524133,Polytechnic,Government,,Thiruvallur,,,
52,RAJAGOPAL POLYTECHNIC COLLEGE,"SH 59, Gandhi Nagar, Gudiyattam, Tamil Nadu 632602, India",12.951934,78.8901508,Polytechnic,Government,,Vellore,,,
53,MUTHIAH POLYTECHNIC COLLEGE,"Annamalai Nagar, Chidambaram, Tamil Nadu 608002, India",11.3950253,79.7041831,Polytechnic,Government,,Cuddalore,,,
54,CIT SANDWICH POLYTECHNIC COLLEGE,"Avinashi Road, Peelamedu - Pudur Main Rd, Civil Aerodrome Post, Coimbatore, Tamil Nadu, India",11.0278755,77.0283137,Polytechnic,Government,Coimbatore,Coimbatore,,,
55,SRI KRISHNA POLYTECHNIC COLLEGE,"Kovaipudur Main Rd, Vivekanandapuram, Kovai Pudur, Coimbatore, Tamil Nadu 641042, India",10.938684,76.945645,Polytechnic,Government,,Coimbatore,,,
56,EIT POLYTECHNIC COLLEGE,"Kavindapadi, Tamil Nadu 638455, India",11.3909554,77.5568676,Polytechnic,Government,,Erode,,,
57,SAKTHI POLYTECHNIC COLLEGE,"Sakthi Nagar, Tamil Nadu 638315, India",11.4917889,77.5629866,Polytechnic,Government,,Erode,,,
58,SSM POLYTECHNIC COLLEGE,"National Highway 47, Tamil Nadu 638183, India",11.4444109,77.7401925,Polytechnic,Government,,Namakkal,,,
59,VALIVALAM DESIKAR POLYTECHNIC COLLEGE,"Annai Nagar, Nagapattinam, Tamil Nadu 611001, India",10.7933602,79.8370274,Polytechnic,Government,,Nagapattinam,,,
60,PATTUKKOTTAI POLYTECHNIC COLLEGE,"Pattukkottai, Tamil Nadu 614601, India",10.436802,79.2984907,Polytechnic,Government,,Thanjavur,,,
61,ARULMIGU PALANIANDAVAR POLYTECHNIC COLLEGE,"Dindigul Road, Palani, Tamil Nadu 624601, India",10.4475781,77.5268386,Polytechnic,Government,,Dindgul,,,
62,Rukmini Shanmugam Polytechnic College,"Varichiyur, Tamil Nadu 625020, India",9.9157029,78.2483929,Polytechnic,Government,,Madurai,,,
63,ANNAMALAI POLYTECHNIC COLLEGE,"Kanadukathan, Tamil Nadu 630102, India",10.1605083,78.7839568,Polytechnic,Government,,Sivagangai,,,
64,MOHAMED SATHAK POLYTECHNIC COLLEGE,"East Coast Road, Ramanathapuram Dist., Kilakarai, Tamil Nadu 623806, India",9.2355985,78.7627529,Polytechnic,Government,,Ramanathapuram,,,
65,ARASAN GANESAN POLYTECHNIC COLLEGE,"Virudhunagar Main Road Anaikuttam P.O Amathur, Sivakasi, Tamil Nadu 626130, India",9.5195134,77.8412178,Polytechnic,Government,,Virudhunagar,,,
